method,dataset,dimensions,hits@20,hits@50,hits@100,init_time,calc_time,num_node_pairs,device
minhash,soc-epinions1,1000,0.08313352462560433,0.2956644785975394,0.44035218741401677,0.7777364000212401,0.04896710009779781,50881,cpu
simhash,soc-epinions1,1000,0.00849023230218938,0.03286034353995519,0.06607444675916826,0.23821950005367398,0.031812099972739816,50881,cpu
jaccard,soc-livejournal1,4847571,0.3658675799086758,0.48399826303132343,0.5784082502533563,3.285003099939786,7.007380599970929,6899376,cpu
adamic-adar,soc-livejournal1,4847571,0.5398108466620749,0.6622219168805991,0.7526254548237405,3.560025200014934,6.6462282000575215,6899376,cpu
common-neighbors,soc-livejournal1,4847571,0.4193518370356971,0.5160333340290484,0.6567846135650528,3.203490399988368,6.704893700079992,6899376,cpu
resource-allocation,soc-livejournal1,4847571,0.5821897516529031,0.6934792363831164,0.7627562260702997,3.5922837000107393,6.630128900054842,6899376,cpu
hyperhash-jaccard,soc-livejournal1,1000,0.09967075283329971,0.09967075283329971,0.09967075283329971,222.31655360001605,10.067886700038798,6899376,cpu
dothash-jaccard,soc-livejournal1,1000,0.3519300875905299,0.4061886176373052,0.42340118874518506,209.89857449999545,5.666530999937095,6899376,cpu
hyperhash-adamic-adar,soc-livejournal1,1000,0.18870083323477368,0.21987756573927844,0.25613446781274135,225.15610210003797,68.7885611000238,6899376,cpu
dothash-adamic-adar,soc-livejournal1,1000,0.16195116775777985,0.1972230532152473,0.2447485105899432,266.82040860003326,6.38630639994517,6899376,cpu
hyperhash-common-neighbors,soc-livejournal1,1000,0.19355141682378232,0.22271753271600214,0.26284550950694674,228.25591309997253,59.18690899992362,6899376,cpu
dothash-common-neighbors,soc-livejournal1,1000,0.16521204236441092,0.2009654206409391,0.2449433108153549,236.66549390007276,5.36301299999468,6899376,cpu
hyperhash-resource-allocation,soc-livejournal1,1000,0.07217986090336286,0.09767955826729838,0.1293925711542609,249.16114480001852,67.04644049995113,6899376,cpu
dothash-resource-allocation,soc-livejournal1,1000,0.06513371644044331,0.09780449710234665,0.12450488276041195,223.82472550007515,6.000809699995443,6899376,cpu
minhash,soc-livejournal1,1000,0.0,0.0,0.0,1049.6216015000828,191.58188010007143,6899376,cpu
simhash,soc-livejournal1,1000,0.0002521967203990622,0.00038235341862800345,0.0005307726379892906,244.2344291000627,5.1600483999354765,6899376,cpu
jaccard,soc-pokec,1632804,0.14398143068378347,0.2679789018292396,0.3410563976362525,1.6678123999154195,2.4446149999275804,3062256,cpu
adamic-adar,soc-pokec,1632804,0.266613242001975,0.3975617975766886,0.4729552330046867,1.6355689999181777,2.4118583999807015,3062256,cpu
common-neighbors,soc-pokec,1632804,0.20814719605415094,0.3363918627312674,0.39778973410452945,1.5014528000028804,2.3779979000100866,3062256,cpu
resource-allocation,soc-pokec,1632804,0.2277164286721946,0.3600698308697901,0.4396444973901594,1.5582018999848515,2.294613800011575,3062256,cpu
hyperhash-jaccard,soc-pokec,1000,0.0018130424105626702,0.10529100114425444,0.12793313165195855,14.436651000054553,3.6719937999732792,3062256,cpu
dothash-jaccard,soc-pokec,1000,0.13415664790925383,0.20125358559179898,0.2180536179862167,13.781879300018772,1.9514233999652788,3062256,cpu
hyperhash-adamic-adar,soc-pokec,1000,0.06568882549336176,0.09624146380968802,0.12865939359740008,14.152647799928673,1.759227699949406,3062256,cpu
dothash-adamic-adar,soc-pokec,1000,0.06394566620165003,0.08528875443463904,0.12028713471375352,14.227545200032182,1.8748589999740943,3062256,cpu
hyperhash-common-neighbors,soc-pokec,1000,0.07035074794530569,0.09829681123981797,0.13673840462717682,13.39911989995744,1.7534003000473604,3062256,cpu
dothash-common-neighbors,soc-pokec,1000,0.0742132597666557,0.09152076116431807,0.1347660025811036,14.136989700025879,1.897502800100483,3062256,cpu
hyperhash-resource-allocation,soc-pokec,1000,0.009533494260440669,0.029078561687853662,0.03964005621998944,13.599818000104278,1.759296300006099,3062256,cpu
dothash-resource-allocation,soc-pokec,1000,0.010635949443808747,0.02605660663249578,0.03827309016620426,13.623453599982895,1.898324300069362,3062256,cpu
minhash,soc-pokec,1000,0.0,0.12777573135622888,0.29981490770203406,52.827285700012,3.139214900089428,3062256,cpu
simhash,soc-pokec,1000,0.0002312020941423578,0.00048199758609339,0.0008039824234159391,13.666727400035597,2.2126798999961466,3062256,cpu
jaccard,soc-slashdot0811,77360,0.13977425838800167,0.1864024915512557,0.24445033463653834,0.10452780011110008,0.07237329997587949,90545,cpu
adamic-adar,soc-slashdot0811,77360,0.39281691074150155,0.691096238376074,0.8309809378658362,0.033750200062058866,0.06343520001973957,90545,cpu
common-neighbors,soc-slashdot0811,77360,0.1909526649437855,0.3092792613699114,0.4506217834029112,0.02427769999485463,0.06469400005880743,90545,cpu
resource-allocation,soc-slashdot0811,77360,0.4924568727497626,0.7821880591080776,0.8439246349921586,0.026700700051151216,0.06543800001963973,90545,cpu
hyperhash-jaccard,soc-slashdot0811,1000,0.1400834934729309,0.18680007951759325,0.21063326927749432,0.33915480005089194,0.11959559994284064,90545,cpu
dothash-jaccard,soc-slashdot0811,1000,0.13615179025025953,0.1856073156185806,0.24396439378879245,0.3203514999477193,0.05212150001898408,90545,cpu
hyperhash-adamic-adar,soc-slashdot0811,1000,0.17312747111965188,0.3349678616393877,0.4396439378879244,0.3318688999861479,0.049939600052312016,90545,cpu
dothash-adamic-adar,soc-slashdot0811,1000,0.1626797428931151,0.3412630044397323,0.44691096238376077,0.31375490000937134,0.05006039992440492,90545,cpu
hyperhash-common-neighbors,soc-slashdot0811,1000,0.18894263689174562,0.28149228016698696,0.34868464647803327,0.3302739999489859,0.050985599984414876,90545,cpu
dothash-common-neighbors,soc-slashdot0811,1000,0.17096282552514744,0.2847392485587436,0.38826673734897177,0.3017457000678405,0.04979680001270026,90545,cpu
hyperhash-resource-allocation,soc-slashdot0811,1000,0.20919753495460872,0.2871910410178252,0.34406820842444724,0.3399225000757724,0.050478699966333807,90545,cpu
dothash-resource-allocation,soc-slashdot0811,1000,0.21383606122854681,0.28531354228789785,0.3431405031696596,0.31550639995839447,0.04976750002242625,90545,cpu
minhash,soc-slashdot0811,1000,0.13582046694497824,0.19344863384357122,0.25299847591279573,1.0427044000243768,0.08689729997422546,90545,cpu
simhash,soc-slashdot0811,1000,0.003622468137742142,0.009829258056678374,0.02098380933448192,0.33509199996478856,0.058035199996083975,90545,cpu
jaccard,soc-slashdot0922,82168,0.12917782510596124,0.16188347426354302,0.21076271007738862,0.029950099997222424,0.07246370008215308,94845,cpu
adamic-adar,soc-slashdot0922,82168,0.5162052168778862,0.7488560403179891,0.8294498450119141,0.027725800056941807,0.06944850005675107,94845,cpu
common-neighbors,soc-slashdot0922,82168,0.24135967779347575,0.31358201716466694,0.4501613141302743,0.026504699955694377,0.07025280001107603,94845,cpu
